,,Paper associated ,Affiliation code,Afilliation name -,Intitute ,Country ,Discipline,Note (if applicable)
,,p12,40,"Agence Nationale de Se?curite? Sanitaire de l'Alimentation, de l'Environnement et du Travail, Universite? Paris-Est, Maisons-Alfort, France ",Universite? Paris-Est,#VALUE!,PH-VET,
,,p2,5,"Center for Animal Disease Modeling and Surveillance (CADMS), Department of Medicine and Epidemiology, School of Veterinary Medicine, University of California, Davis, California, USA ",University of California,#VALUE!,PH-EPI,
,,p2,6,"One Health Institute, School of Veterinary Medicine, University of California, Davis, California, USA",University of California,#VALUE!,PH-VET,
,,p5,23,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA. 8School of Veterinary Medicine, University of California Davis, Davis, CA, USA",University of California Davis,#VALUE!,PH-EPI,
,,p16,53,"University of California Davis, School of Veterinary Medicine, Poultry Health and Food Safety Epidemiology, One Shields Avenue, Davis, California, USA",University of California Davis,#VALUE!,STEM,
,,p5,74,"School of Veterinary Medicine, University of California Davis, Davis, CA, USA",University of California Davis,#VALUE!,PH-VET,
,,p8,30,"Immunology and Biodiversity Laboratory, Faculty of Science Ain chock, Hassan II University of Casablanca, Casablanca 20100, Morocco",University of Casablanca,#VALUE!,PH-EPI,
,,p10,33,"Department of Veterinary and Animal Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, Frederiksberg, Denmark",University of Copenhagen,#VALUE!,PH-VET,
,,p22,88,"Faculty of Health and Medical Sciences, Section for Animal Welfare and Disease Control, Department of Veterinary and Animal Sciences, University of Copenhagen, Frederiksberg, Denmark",University of Copenhagen,#VALUE!,PH-VET,
,,p4,15,"Global Academy of Agriculture and Food Security, The Royal (Dick) School of Veterinary Studies, University
of Edinburgh, Easter Bush Campus, Midlothian EH25 9RG, UK.",University of Edinburgh,#VALUE!,STEM,
,,p5,21,"Department of Infectious Diseases, University of Georgia, Athens, GA, USA.",University of Georgia,#VALUE!,PH-VET,
,,p35,49,"Center for Ecology of Infectious Diseases, Department of Infectious Diseases, Department of Epidemiology and Biostatistics, Institute of Bioinformatics, University of Georgia, Athens, Georgia, United States of America",University of Georgia,#VALUE!,PH-EPI,
,,p35,113,"Southeastern Cooperative Wildlife Disease Study, Department of Population Health, College of Veterinary Medicine, University of Georgia, Athens, Georgia, United States of America ",University of Georgia,#VALUE!,PH-EPI,
,,p5,17,"Department of Environmental Science and Technology, University of Maryland, College Park, MD, USA",University of Maryland,#VALUE!,STEM,
,,p5,79,"Department of Biology, University of Massachusetts, Boston, MA, USA.",University of Massachusetts,#VALUE!,STEM-Biology,
,,p3,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",University of Mining & Technology,#VALUE!,PH-VET,
,,p5,75,"Department of Veterinary and Biomedical Sciences, University of Minnesota, St. Paul, MN, USA.",University of Minnesota,#VALUE!,PH-VET,
,,p29,95,"Laboratory for Animal Health, French Agency for Food, Environmental and Occupational Health and Safety (ANSES), University Paris-Est, 14 rue Pierre et Marie Curie, 94700 Maisons-Alfort, France ",University of Paris,#VALUE!,PH-VET,
,,p29,96,"Mathematical Modelling of Infectious Diseases Unit, Institut Pasteur, Universite? de Paris Cite?, CNRS UMR2000, 75015 Paris, France ",University of Paris,#VALUE!,STEM,
,,p4,10,"Department of Hygiene and Zoonosis, Faculty of Veterinary Medicine, University of Sadat City, Menofia, Sadat City 32897, Egypt",University of Sadat City,#VALUE!,PH-VET,
,,p4,13,"Department of Animal Medicine and Infectious Diseases, Faculty of Veterinary Medicine, University of Sadat City, Sadat City, Menofia 32897, Egypt.",University of Sadat City,#VALUE!,STEM,
,,p11,37," School of Veterinary Science, University of Sydney, Camden, NSW, Australia",University of Sydney,#VALUE!,PH-EPI,
,,p22,90,"Faculty of Science, Sydney School of Veterinary Science, The University of Sydney, Camden NSW, Australia",University of Sydney,#VALUE!,PH-VET,
,,p28,121,"Unit of Host-Pathogens Interactions, University of Toulouse, National Research Institute for Agriculture, Food and the Environment, National Veterinary School of Toulouse, 31300 Toulouse, France",University of Toulouse,#VALUE!,PH-VET,
,,p25,112,"US Department of Agriculture, Wildlife Services, National Wildlife Disease Program, Fort Collins, Colorado, USA",US Department of Agriculture,#VALUE!,STEM-Ecology,
,,p34,91,"Department of Population Health Sciences, Faculty of Veterinary Medicine, Utrecht University,
3584 CL Utrecht, The Netherlands",Utrecht University,#VALUE!,PH-VET,
,,p34,93,"Department of Epidemiology, Bioinformatics and Animal Models, Wageningen Bioveterinary Research, 8221 RA Lelystad, The Netherlands ",Wageningen Bioveterinary Research,#VALUE!,PH-EPI,
,,p34,92,"Wildlife Ecology and Conservation Group, Wageningen University & Research,
6708 PB Wageningen, The Netherlands",Wageningen University,#VALUE!,STEM-Ecology,
,,p5,54,"U.S. Geological Survey, San Francisco Bay Estuary Field Station, Western Ecological Research Center, Moffett Field, CA, USA.",Western Ecological Research Center - California,#VALUE!,STEM-Ecology,
,,p5,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, CA, USA",Western Ecological Research Center -Dixon,#VALUE!,STEM-Ecology,
,,p23,101,"China Australia Joint Laboratory for Animal Health Big Data Analytics, College of Animal Science and Technology, Zhejiang Agricultural and Forestry University, Hangzhou, China",Zhejiang Agricultural and Forestry University ,#VALUE!,PH-VET,
,,,106,,,,,
