,,Paper associated ,Affiliation code,Afilliation name -,Intitute ,Country ,Discipline,Note (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p22,90,"Faculty of Science, Sydney School of Veterinary Science, The University of Sydney, Camden NSW, Australia",University of Sydney,Australia,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,97,"China Animal Health and Epidemiology
Centre, Qingdao, China","China Animal Health and Epidemiology
Centre",China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,100,"Guangxi Centre of Animal Disease Prevention and Control, Nanning, China",Guangxi Centre of Animal Disease Prevention and Control,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,102,"Hubei International Scientific and Technological Cooperation Base of Veterinary Epidemiology, Huazhong Agricultural University, Wuhan, China",Huazhong Agricultural University,China,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,98,"School of Veterinary Medicine, Murdoch University, Perth, Australia",Murdoch University,Australia,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,99,"Royal Veterinary College, University of London, Hatfield, UK",Murdoch University,United Kingdom,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,103,"Centre for Biosecurity and One Health, Harry Butler Institute, Murdoch University, Perth, Australia",Murdoch University ,Australia,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p23,101,"China Australia Joint Laboratory for Animal Health Big Data Analytics, College of Animal Science and Technology, Zhejiang Agricultural and Forestry University, Hangzhou, China",Zhejiang Agricultural and Forestry University ,China,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p25,111,"Department of Biology, Frostburg State University, Frostburg, Maryland, USA ",Frostburg State University ,United States,STEM-Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p25,112,"US Department of Agriculture, Wildlife Services, National Wildlife Disease Program, Fort Collins, Colorado, USA",US Department of Agriculture,United States,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p26,116,"Faculty of Veterinary Medicine, Chattogram Veterinary and Animal Sciences University, Chattogram 4225, Bangladesh",Chattogram Veterinary and Animal Sciences University,Bangladesh,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p26,109,"Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, Victoria,
VIC 3216, Australia",Deakin University,Australia,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p26,114,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka 1212, Bangladesh",Disease Control and Research (IEDCR),Bangladesh,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p26,108,"EcoHealth Alliance, New York, NY 10018, USA",EcoHealth Alliance,United States,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p26,115,"Queensland Alliance for One Health Sciences, School of Veterinary Science, The University of Queensland, Brisbane,
QLD 4343, Australia",The University of Queensland,Australia,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p27,117,"Honam National Institute of Biological Resources, Mokpo 58762, Korea",Honam National Institute of Biological Resources,South Korea,STEM-Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p28,122,"Key Laboratory of Public Health Safety, Ministry of Education, 
School of Public Health, Fudan University, 200032 Shanghai, China, ",Fudan University,China,PH-MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p28,119,"Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ 08544",Princeton University,United States,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p28,121,"Unit of Host-Pathogens Interactions, University of Toulouse, National Research Institute for Agriculture, Food and the Environment, National Veterinary School of Toulouse, 31300 Toulouse, France",University of Toulouse,France,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p29,95,"Laboratory for Animal Health, French Agency for Food, Environmental and Occupational Health and Safety (ANSES), University Paris-Est, 14 rue Pierre et Marie Curie, 94700 Maisons-Alfort, France ",University of Paris,France,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p29,96,"Mathematical Modelling of Infectious Diseases Unit, Institut Pasteur, Université de Paris Cité, CNRS UMR2000, 75015 Paris, France ",University of Paris,France,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p3,8,"Institute of Land Surface System and Sustainable Development, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China
",Beijing Normal University,China,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p3,9,"State Key Laboratory of Earth Surface Processes
and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China",Beijing Normal University,China,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p3,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",University of Mining & Technology,China,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p31,104,"Department of Statistics, Graduate School, Hankuk University of Foreign Studies, Seoul, Republic of Korea",Hankuk University of Foreign Studies,South Korea,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p32,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",Friedrich-Loeffler-Institut,Germany,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p32,124,"Institute of Epidemiology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",Friedrich-Loeffler-Institut,Germany,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p32,125,"Institute for International Animal Health/One Health, Friedrich-Loeffler-Institut,
17493 Greifswald-Insel Riems, Germany",Friedrich-Loeffler-Institut,Germany,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p33,130,"Federal Agency for the Safety of the Food Chain, Brussels ",Federal Agency for the Safety of the Food Chain,Belgium ,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p33,127,"Rega Institute KU Leuven, Leuven, Belgium ",Rega Institute KU Leuven,Belgium ,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p33,129,"Royal Meteorological Institute of Belgium, Uccle, Belgium",Royal Meteorological Institute of Belgium,Belgium ,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p33,126,"Sciensano, Brussels, Belgium ",Sciensano,Belgium ,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p33,128,"Université Libre de Bruxelles, Brussels ",Université Libre de Bruxelles,Belgium ,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p34,94,"Sovon, Dutch Centre for Field Ornithology, 6525 ED Nijmegen, The Netherlands",Dutch Centre for Field Ornithology,Netherlands,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p34,91,"Department of Population Health Sciences, Faculty of Veterinary Medicine, Utrecht University,
3584 CL Utrecht, The Netherlands",Utrecht University,Netherlands,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p34,93,"Department of Epidemiology, Bioinformatics and Animal Models, Wageningen Bioveterinary Research, 8221 RA Lelystad, The Netherlands ",Wageningen Bioveterinary Research,Netherlands,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p34,92,"Wildlife Ecology and Conservation Group, Wageningen University & Research,
6708 PB Wageningen, The Netherlands",Wageningen University,Netherlands,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p35,19,"U.S. Geological Survey, Alaska Science Center, Anchorage, Alaska, United States of America,",Alaska Science Center,United States,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p35,110,"U.S. Fish and Wildlife Service, Chesapeake Bay Field Office, Annapolis, Maryland, United States of America ",Fish and Wildlife Service,United States,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p35,78,"U.S. Geological Survey, National Wildlife Health Center, Madison, Wisconsin, United States of America,",National Wildlife Health Center - Madison,United States,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p35,49,"Center for Ecology of Infectious Diseases, Department of Infectious Diseases, Department of Epidemiology and Biostatistics, Institute of Bioinformatics, University of Georgia, Athens, Georgia, United States of America",University of Georgia,United States,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p35,113,"Southeastern Cooperative Wildlife Disease Study, Department of Population Health, College of Veterinary Medicine, University of Georgia, Athens, Georgia, United States of America ",University of Georgia,United States,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p4,12,"Astronomy and Meteorology Department, Faculty of Science, Al-Azhar University, Cairo, Egypt.",Al-Azhar University,Egypt,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p4,16,"Department of Animal Hygiene and Preventive Medicine, Faculty of Veterinary Medicine, Kafrelsheikh University, Kafrelsheikh, Egypt. ",Kafrelsheikh University,Egypt,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p4,11,"College of Agriculture, Environment and Nutrition Sciences, Tuskegee University, Tuskegee, AL, USA.",Tuskegee University,United States,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p4,14,"Department of Biomedical Sciences, College of Veterinary Medicine, Tuskegee University, Tuskegee, AL, USA",Tuskegee University,United States,STEM-Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p4,15,"Global Academy of Agriculture and Food Security, The Royal (Dick) School of Veterinary Studies, University
of Edinburgh, Easter Bush Campus, Midlothian EH25 9RG, UK.",University of Edinburgh,United Kingdom,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p4,10,"Department of Hygiene and Zoonosis, Faculty of Veterinary Medicine, University of Sadat City, Menofia, Sadat City 32897, Egypt",University of Sadat City,Egypt,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p4,13,"Department of Animal Medicine and Infectious Diseases, Faculty of Veterinary Medicine, University of Sadat City, Sadat City, Menofia 32897, Egypt.",University of Sadat City,Egypt,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,19,"U.S. Geological Survey, Alaska Science Center, Anchorage, AK, USA ",Alaska Science Center,United States,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,76,"Department of Biological Sciences, California State University Chico, Chico, CA, USA.",California State University Chico,United States,STEM-Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,18,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",Eastern Ecological Science Center - Maryland,United States,STEM-Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,78,"U.S. Geological Survey, National Wildlife Health Center, Madison, WI, USA ",National Wildlife Health Center - Madison,United States,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,22,"Department of Agriculture, Wildlife Services, National Wildlife Research Center, Fort Collins, CO, USA.",National Wildlife Research Center - Fort Collins,United States,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,80,"Department of Infectious Diseases, St. Jude Children’s Research Hospital, Memphis, TN, USA.",St. Jude Children’s Research Hospital,United States,PH-VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,73,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA.",The Ohio State University,United States,STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,p5,23,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA. 8School of Veterinary Medicine, University of California Davis, Davis, CA, USA",University of California Davis,United States,PH-EPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
