,,DOI,Paper associated ,Author,Affiliation code 1,Afilliation name 1,Affiliation code 2,Affiliation name 2,Corresponding author  ,First author,Afilliation code 3,Affiliation name 3,Country ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14381,p2,Jaber Belkhiria ,6,"One Health Institute, School of Veterinary Medicine, University of California, Davis, California, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1007/s11356-022-19016-5,p3,Hongru Bi ,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1007/s11356-022-19016-3,p3,Lan Yang,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1007/s11356-022-19016-1,p3,Wei Chen,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1007/s11356-022-19016-2,p3,Xuepeng Zhang,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1007/s11356-022-19016-4,p3,Zhe Wang,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1007/s11356-022-19016-6,p3,Wenwu Zhao,8,"Institute of Land Surface System and Sustainable Development, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China
",9,"State Key Laboratory of Earth Surface Processes
and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China",no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1186/s12917-022-03273-w ,p4,Ahmed Byomi,10,"Department of Hygiene and Zoonosis, Faculty of Veterinary Medicine, University of Sadat City, Menofia, Sadat City 32897, Egypt",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1186/s12917-022-03273-w ,p4,Yumna Elsobky,10,"Department of Hygiene and Zoonosis, Faculty of Veterinary Medicine, University of Sadat City, Menofia, Sadat City 32897, Egypt",N/A,N/A,yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1186/s12917-022-03273-w ,p4,Gamal El Afandi,11,"College of Agriculture, Environment and Nutrition Sciences, Tuskegee University, Tuskegee, AL, USA.",12,"Astronomy and Meteorology Department, Faculty of Science, Al-Azhar University, Cairo, Egypt.",no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: https://doi.org/10.21203/rs.3.rs-2948767/v9,p6,Ehsan Abdalla,11,"College of Agriculture, Environment and Nutrition Sciences, Tuskegee University, Tuskegee, AL, USA.",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1186/s12917-022-03273-w ,p4,Akram Salama,13,"Department of Animal Medicine and Infectious Diseases, Faculty of Veterinary Medicine, University of Sadat City, Sadat City, Menofia 32897, Egypt.",14,"Department of Biomedical Sciences, College of Veterinary Med- icine, Tuskegee University, Tuskegee, AL, USA",no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: https://doi.org/10.21203/rs.3.rs-2948767/v7,p6,Ahmed Kamal,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: https://doi.org/10.21203/rs.3.rs-2948767/v8,p6,Akram Salama,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: https://doi.org/10.21203/rs.3.rs-2948767/v10,p6,Ghada Hadad,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: https://doi.org/10.21203/rs.3.rs-2948767/v4,p6,Mohamed Nayel,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: https://doi.org/10.21203/rs.3.rs-2948767/v2,p6,Nourhan Eissa,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: https://doi.org/10.21203/rs.3.rs-2948767/v6,p6,Walid Mousa,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: https://doi.org/10.21203/rs.3.rs-2948767/v1,p6,Yumna Elsobky,13,University of Sadat City ,N/A,N/A,yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1186/s12917-022-03273-w ,p4,Muhammad Omar,14,"Department of Biomedical Sciences, College of Veterinary Med- icine, Tuskegee University, Tuskegee, AL, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1186/s12917-022-03273-w ,p4,Mahmoud Eltholth,15,"Global Academy of Agriculture and Food Security, The Royal (Dick) School of Veterinary Studies, University
of Edinburgh, Easter Bush Campus, Midlothian EH25 9RG, UK.",16,"Department of Animal Hygiene and Preventive Medicine, Faculty of Veterinary Medicine, Kafrelsheikh University, Kafrelsheikh, Egypt. ",no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14448,p16,Diann J Prosser,16,"Geological Survey, Eastern Ecological Science Center at the Patuxent Research Refuge (formerly USGS Patuxent Wildlife Research Center), Laurel, Maryland, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1002/eap.2906 ,p25,Cody M. Kent,17,"Department of Environmental Science and Technology, University of Maryland, College Park, Maryland, USA",111,"Department of Biology, Frostburg State University, Frostburg, Maryland, USA ",yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1002/eap.2907,p25,Jennifer M. Mullinax,17,"Department of Environmental Science and Technology, University of Maryland, College Park, Maryland, USA ",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1038/s41598-022-17396-8,p5,Cody M. Kent,17,"Department of Environmental Science and Technology, University of Maryland, College Park, MD, USA",18,"Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA",yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1038/s41598-022-17396-15,p5,Jennifer M. Mullinax,17,"Department of Environmental Science and Technology, University of Maryland, College Park, MD, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1002/eap.2907,p25,Diann J. Prosser ,18,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1002/eap.2906 ,p25,Jeffery D. Sulliva ,18,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1371/journal.ppat.1010609,p35,Daniel McAule ,18,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1371/journal.ppat.1010611,p35,Diann J. Prosser ,18,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",N/A,N/A,yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1371/journal.ppat.1010612,p35,Jeffery D. Sullivan,18,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1038/s41598-022-17396-10,p5,Diann J. Prosser,18,"Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1038/s41598-022-17396-13,p5,Jeffery D. Sullivan,18,"Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1371/journal.ppat.1010606,p35,Andrew M. Ramey ,19,"U.S. Geological Survey, Alaska Science Center, Anchorage, Alaska, United States of America,",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1371/journal.ppat.1010608,p35,Christina A. Ahlstrom,19,"U.S. Geological Survey, Alaska Science Center, Anchorage, Alaska, United States of America,",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1038/s41598-022-17396-5,p5,Andrew M. Ramey,19,"U.S. Geological Survey, Alaska Science Center, Anchorage, Alaska, United States of America,",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14447,p16,Austen A Lorenz,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14446,p16,Elliott L Matchett,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14445 ,p16,Fiona McDuie,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",50,"San Jose State University Research Foundation, Moss Landing Marine Laboratories, California, USAc",yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14450,p16,Joshua T Ackerman,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14448,p16,Madeline M McCuen,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14451,p16,Michael L Casazza ,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI: 10.1111/tbed.14449,p16,Overton Cory T,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1038/s41598-022-17396-18,p5,Joshua T. Ackerman,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, CA, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1038/s41598-022-17396-21,p5,Michael L. Casazza,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, CA, USA",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1038/s41598-022-17396-19,p5,Justin Bahl,21,"Department of Infectious Diseases, University of Georgia, Athens, GA, USA.",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1038/s41598-022-17396-27,p5,Sarah N. Bevins,22,"Department of Agriculture, Wildlife Services, National Wildlife Research Center, Fort Collins, CO, USA.",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1101/2023.04.24.538139 ,p7,Claudio Azat,24,"Sustainability Research Center & PhD in Conservation Medicine, Life Science Faculty, Universidad Andrés Bello, República 440, Santiago, Chile",N/A,N/A,yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1101/2023.04.24.538140,p7,José Fernando Aguilera,24,"Sustainability Research Center & PhD in Conservation Medicine, Life Science Faculty, Universidad Andrés Bello, República 440, Santiago, Chile",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1101/2023.04.24.538141,p7,Mario Alvarado-Rybak,25,"Núcleo de Ciencias Aplicadas en Ciencias Veterinarias y Agronómicas, Facultad de
  Medicina Veterinaria y Agrono, Chile",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.1101/2023.04.24.538142,p7,Julio A. Benavides,26,"MIVEGEC, IRD, CNRS, Université de Montpellier, Montpellier, France",N/A,N/A,yes,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030511,p8,Abdelaziz Benhoussa,27,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat,
4 Avenue Ibn Battouta, Rabat 10106, Morocco;",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030509,p8,Fatiha El Mellouli,27,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat,
4 Avenue Ibn Battouta, Rabat 10106, Morocco;",N/A,N/A,yes,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030510,p8,Hamid Rguibi Idrissi,27,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat,
4 Avenue Ibn Battouta, Rabat 10106, Morocco;",70,"Ecole supérieure de Technologie de Lâayoune, Quartier 24 Mars, Lâayoune 3007, Morocco",no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030512,p8,Mohamed Mouahid,28,"Mouahid’s Veterinary Clinic, Temara 12000, Morocco",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030513,p8,Alice Fusaro,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030514,p8,Bianca Zecchi,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030515,p8,Edoardo Giussan ,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030516,p8,Elisa Palumbo,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030517,p8,Isabella Monne,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030518,p8,Hasnae Zekhnini ,30,"Immunology and Biodiversity Laboratory, Faculty of Science Ain chock, Hassan II University of Casablanca, Casablanca 20100, Morocco",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://doi.org/10.3390/v14030519,p8,Abderrazak El Khantour ,31,"Division of Pharmacy and Veterinary Inputs, Food Safety National Office (ONSSA), Rue Ikhlas Cym,
PB 4509 Akkari, Rabat 10050, Morocco",N/A,N/A,no,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI 10.3389/fmicb.2022.1002528,p9,Jingfei Wang,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",N/A,N/A,yes,no,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOI 10.3389/fmicb.2022.1002523,p9,Lili Wei,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",N/A,N/A,no,yes,N/A,N/A,#UNKNOWN!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
