,Paper associated ,Affiliation code,Afilliation name -,Intitute ,Country ,Discipline
55,p23,102,"Hubei International Scientific and Technological Cooperation Base of Veterinary Epidemiology, Huazhong Agricultural University, Wuhan, China",Huazhong Agricultural University,China,PH-EPI
56,p23,98,"School of Veterinary Medicine, Murdoch University, Perth, Australia",Murdoch University,Australia,PH-VET
57,p23,99,"Royal Veterinary College, University of London, Hatfield, UK",Murdoch University,United Kingdom,PH-VET
58,p23,103,"Centre for Biosecurity and One Health, Harry Butler Institute, Murdoch University, Perth, Australia",Murdoch University ,Australia,STEM
59,p23,101,"China Australia Joint Laboratory for Animal Health Big Data Analytics, College of Animal Science and Technology, Zhejiang Agricultural and Forestry University, Hangzhou, China",Zhejiang Agricultural and Forestry University ,China,PH-VET
60,p25,111,"Department of Biology, Frostburg State University, Frostburg, Maryland, USA ",Frostburg State University ,United States,STEM-Biology
61,p25,112,"US Department of Agriculture, Wildlife Services, National Wildlife Disease Program, Fort Collins, Colorado, USA",US Department of Agriculture,United States,STEM-Ecology
62,p26,116,"Faculty of Veterinary Medicine, Chattogram Veterinary and Animal Sciences University, Chattogram 4225, Bangladesh",Chattogram Veterinary and Animal Sciences University,Bangladesh,PH-VET
63,p26,109,"Centre for Integrative Ecology, School of Life and Environmental Sciences, Deakin University, Geelong, Victoria,
VIC 3216, Australia",Deakin University,Australia,STEM-Ecology
64,p26,114,"Institute of Epidemiology, Disease Control and Research (IEDCR), Dhaka 1212, Bangladesh",Disease Control and Research (IEDCR),Bangladesh,PH-EPI
65,p26,108,"EcoHealth Alliance, New York, NY 10018, USA",EcoHealth Alliance,United States,STEM-Ecology
66,p26,115,"Queensland Alliance for One Health Sciences, School of Veterinary Science, The University of Queensland, Brisbane,
QLD 4343, Australia",The University of Queensland,Australia,PH-VET
67,p27,117,"Honam National Institute of Biological Resources, Mokpo 58762, Korea",Honam National Institute of Biological Resources,South Korea,STEM-Biology
68,p28,122,"Key Laboratory of Public Health Safety, Ministry of Education, 
School of Public Health, Fudan University, 200032 Shanghai, China, ",Fudan University,China,PH-MED
69,p28,119,"Department of Ecology and Evolutionary Biology, Princeton University, Princeton, NJ 08544",Princeton University,United States,STEM-Ecology
70,p28,121,"Unit of Host-Pathogens Interactions, University of Toulouse, National Research Institute for Agriculture, Food and the Environment, National Veterinary School of Toulouse, 31300 Toulouse, France",University of Toulouse,France,PH-VET
71,p29,95,"Laboratory for Animal Health, French Agency for Food, Environmental and Occupational Health and Safety (ANSES), University Paris-Est, 14 rue Pierre et Marie Curie, 94700 Maisons-Alfort, France ",University of Paris,France,PH-VET
72,p29,96,"Mathematical Modelling of Infectious Diseases Unit, Institut Pasteur, Université de Paris Cité, CNRS UMR2000, 75015 Paris, France ",University of Paris,France,STEM
73,p3,8,"Institute of Land Surface System and Sustainable Development, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China
",Beijing Normal University,China,STEM
74,p3,9,"State Key Laboratory of Earth Surface Processes
and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing 100875, China",Beijing Normal University,China,PH-VET
75,p3,7,"College of Geoscience and Surveying Engineering, University of Mining & Technology, Beijing 100083, China
",University of Mining & Technology,China,PH-VET
76,p31,104,"Department of Statistics, Graduate School, Hankuk University of Foreign Studies, Seoul, Republic of Korea",Hankuk University of Foreign Studies,South Korea,STEM
77,p32,123,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",Friedrich-Loeffler-Institut,Germany,PH-VET
78,p32,124,"Institute of Epidemiology, Friedrich-Loeffler-Institut, 17493 Greifswald-Insel Riems, Germany ",Friedrich-Loeffler-Institut,Germany,PH-EPI
79,p32,125,"Institute for International Animal Health/One Health, Friedrich-Loeffler-Institut,
17493 Greifswald-Insel Riems, Germany",Friedrich-Loeffler-Institut,Germany,PH-VET
80,p33,130,"Federal Agency for the Safety of the Food Chain, Brussels ",Federal Agency for the Safety of the Food Chain,Belgium ,PH-EPI
81,p33,127,"Rega Institute KU Leuven, Leuven, Belgium ",Rega Institute KU Leuven,Belgium ,PH-EPI
82,p33,129,"Royal Meteorological Institute of Belgium, Uccle, Belgium",Royal Meteorological Institute of Belgium,Belgium ,STEM
83,p33,126,"Sciensano, Brussels, Belgium ",Sciensano,Belgium ,PH-VET
84,p33,128,"Université Libre de Bruxelles, Brussels ",Université Libre de Bruxelles,Belgium ,PH-EPI
85,p34,94,"Sovon, Dutch Centre for Field Ornithology, 6525 ED Nijmegen, The Netherlands",Dutch Centre for Field Ornithology,Netherlands,STEM-Ecology
86,p34,91,"Department of Population Health Sciences, Faculty of Veterinary Medicine, Utrecht University,
3584 CL Utrecht, The Netherlands",Utrecht University,Netherlands,PH-VET
87,p34,93,"Department of Epidemiology, Bioinformatics and Animal Models, Wageningen Bioveterinary Research, 8221 RA Lelystad, The Netherlands ",Wageningen Bioveterinary Research,Netherlands,PH-EPI
88,p34,92,"Wildlife Ecology and Conservation Group, Wageningen University & Research,
6708 PB Wageningen, The Netherlands",Wageningen University,Netherlands,STEM-Ecology
89,p35,19,"U.S. Geological Survey, Alaska Science Center, Anchorage, Alaska, United States of America,",Alaska Science Center,United States,STEM-Ecology
90,p35,110,"U.S. Fish and Wildlife Service, Chesapeake Bay Field Office, Annapolis, Maryland, United States of America ",Fish and Wildlife Service,United States,STEM
91,p35,78,"U.S. Geological Survey, National Wildlife Health Center, Madison, Wisconsin, United States of America,",National Wildlife Health Center - Madison,United States,STEM-Ecology
92,p35,49,"Center for Ecology of Infectious Diseases, Department of Infectious Diseases, Department of Epidemiology and Biostatistics, Institute of Bioinformatics, University of Georgia, Athens, Georgia, United States of America",University of Georgia,United States,PH-EPI
93,p35,113,"Southeastern Cooperative Wildlife Disease Study, Department of Population Health, College of Veterinary Medicine, University of Georgia, Athens, Georgia, United States of America ",University of Georgia,United States,PH-EPI
94,p4,12,"Astronomy and Meteorology Department, Faculty of Science, Al-Azhar University, Cairo, Egypt.",Al-Azhar University,Egypt,PH-VET
95,p4,16,"Department of Animal Hygiene and Preventive Medicine, Faculty of Veterinary Medicine, Kafrelsheikh University, Kafrelsheikh, Egypt. ",Kafrelsheikh University,Egypt,PH-VET
96,p4,11,"College of Agriculture, Environment and Nutrition Sciences, Tuskegee University, Tuskegee, AL, USA.",Tuskegee University,United States,PH-VET
97,p4,14,"Department of Biomedical Sciences, College of Veterinary Medicine, Tuskegee University, Tuskegee, AL, USA",Tuskegee University,United States,STEM-Biology
98,p4,15,"Global Academy of Agriculture and Food Security, The Royal (Dick) School of Veterinary Studies, University
of Edinburgh, Easter Bush Campus, Midlothian EH25 9RG, UK.",University of Edinburgh,United Kingdom,STEM
99,p4,10,"Department of Hygiene and Zoonosis, Faculty of Veterinary Medicine, University of Sadat City, Menofia, Sadat City 32897, Egypt",University of Sadat City,Egypt,PH-VET
100,p4,13,"Department of Animal Medicine and Infectious Diseases, Faculty of Veterinary Medicine, University of Sadat City, Sadat City, Menofia 32897, Egypt.",University of Sadat City,Egypt,STEM
101,p5,19,"U.S. Geological Survey, Alaska Science Center, Anchorage, AK, USA ",Alaska Science Center,United States,PH-EPI
102,p5,76,"Department of Biological Sciences, California State University Chico, Chico, CA, USA.",California State University Chico,United States,STEM-Biology
103,p5,18,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, USA",Eastern Ecological Science Center - Maryland,United States,STEM-Ecology
104,p5,78,"U.S. Geological Survey, National Wildlife Health Center, Madison, WI, USA ",National Wildlife Health Center - Madison,United States,PH-EPI
105,p5,22,"Department of Agriculture, Wildlife Services, National Wildlife Research Center, Fort Collins, CO, USA.",National Wildlife Research Center - Fort Collins,United States,PH-VET
106,p5,80,"Department of Infectious Diseases, St. Jude Children’s Research Hospital, Memphis, TN, USA.",St. Jude Children’s Research Hospital,United States,PH-VET
107,p5,73,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA.",The Ohio State University,United States,STEM
108,p5,23,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA. 8School of Veterinary Medicine, University of California Davis, Davis, CA, USA",University of California Davis,United States,PH-EPI
109,p5,74,"School of Veterinary Medicine, University of California Davis, Davis, CA, USA",University of California Davis,United States,PH-VET
110,p5,21,"Department of Infectious Diseases, University of Georgia, Athens, GA, USA.",University of Georgia,United States,PH-VET
111,p5,17,"Department of Environmental Science and Technology, University of Maryland, College Park, MD, USA",University of Maryland,United States,STEM
112,p5,79,"Department of Biology, University of Massachusetts, Boston, MA, USA.",University of Massachusetts,United States,STEM-Biology
113,p5,75,"Department of Veterinary and Biomedical Sciences, University of Minnesota, St. Paul, MN, USA.",University of Minnesota,United States,PH-VET
114,p5,54,"U.S. Geological Survey, San Francisco Bay Estuary Field Station, Western Ecological Research Center, Moffett Field, CA, USA.",Western Ecological Research Center - California,United States,STEM-Ecology
115,p5,20,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, CA, USA",Western Ecological Research Center -Dixon,United States,STEM-Ecology
116,p6,69,Matrouh University,Matrouh University ,Egypt,STEM
117,p6,68,Royal Holloway University of London,Royal Holloway University of London,United Kingdom,PH-EPI
118,p7,24,"Sustainability Research Center & PhD in Conservation Medicine, Life Science Faculty, Universidad Andrés Bello, República 440, Santiago, Chile",Universidad Andrés Bello ,Chile,PH-VET
119,p7,25,"Núcleo de Ciencias Aplicadas en Ciencias Veterinarias y Agronómicas, Facultad de
  Medicina Veterinaria y Agronomía, Universidad de las Américas, Echaurren 140, Santiago, Chile",Universidad de las América ,Chile,STEM
120,p7,26,"MIVEGEC, IRD, CNRS, Université de Montpellier, Montpellier, France.",Université de Montpellier,France,STEM
121,p8,70,"Ecole supérieure de Technologie de Lâayoune, Quartier 24 Mars, Lâayoune 3007, Morocco",Ecole supérieure de Technologie de Lâayoune,Morocco,STEM
122,p8,31,"Division of Pharmacy and Veterinary Inputs, Food Safety National Office (ONSSA), Rue Ikhlas Cym,
PB 4509 Akkari, Rabat 10050, Morocco",Food Safety National Office (ONSSA),Morocco,PH-VET
123,p8,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",Istituto Zooprofilattico Sperimentale delle Venezie,Italy,PH-VET
124,p8,27,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat,
4 Avenue Ibn Battouta, Rabat 10106, Morocco;",Mohammed V University in Rabat,Morocco,PH-VET
125,p8,28,"Mouahid’s Veterinary Clinic, Temara 12000, Morocco",Mouahid’s Veterinary Clinic,Morocco,PH-VET
126,p8,30,"Immunology and Biodiversity Laboratory, Faculty of Science Ain chock, Hassan II University of Casablanca, Casablanca 20100, Morocco",University of Casablanca,Morocco,PH-EPI
127,p9,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",Harbin Veterinary Research Institute,China,PH-VET
128,,105,"College of Veterinary Medicine and Institute of Veterinary Science, Kangwon National University, Chuncheon, Republic of Korea",Kangwon National University,South Korea,PH-VET
129,,106,,,,
130,P36,132,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, Südufer 10, 17493, Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
131,P36,133,"Niedersächsisches Landesamt für Verbraucherschutz und Lebensmittelsicherheit, Dezernat 32 - Task-Force Veterinärwesen Postfach 39 49, 26029, Oldenburg, Germany.",Niedersächsisches Landesamt für Verbraucherschutz und Lebensmittelsicherheit,Germany,PH-VET
132,P36,131,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, Südufer 10, 17493, Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,STEM
133,P36,134,"Institute of Avian Research, An der Vogelwarte 21, 26386, Wilhelmshaven, Germany.",Institute of Avian Research,Germany,STEM-Ecology
134,P36,135,"Lower Saxon Wadden Sea National Park Authority, Virchowstr. 1, 26382, Wilhelmshaven, Germany.",Lower Saxon Wadden Sea National Park Authority,Germany,STEM-Ecology
135,P36,136,"Verein Jordsand zum Schutz der Seevögel und der Natur e. V., Bornkampsweg Ahrensburg 35, 22926, Germany.",Verein Jordsand zum Schutz der Seevögel und der Natur e. V.,Germany,STEM-Biology
136,P36,137,"Schleswig-Holstein Wadden Sea National Park Administration, Schlossgarten 1, 25832, Toenning, Germany.",Schleswig-Holstein Wadden Sea National Park Administration,Germany,STEM-Ecology
137,P36,138,"Universitäty of Hamburg, Institute of Cell and Systems Biology of Animals, Animal Ecology and Conservation, Martin-Luther-King-Platz 3, 20146, Hamburg, Germany.",Universitäty of Hamburg,Germany,STEM-Ecology
138,P36,131,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, Südufer 10, 17493, Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-EPI
139,P36,131,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, Südufer 10, 17493, Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,STEM
140,P36,131,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, Südufer 10, 17493, Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
141,P36,131,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, Südufer 10, 17493, Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-MED
142,P36,139,"Department of Veterinary and Animal Sciences, University of Copenhagen, Frederiksberg, Denmark.",University of Copenhagen,Denmark,PH-VET
143,P36,140,"Department for Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark.",Statens Serum Institut,Denmark,STEM
144,P36,131,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, Südufer 10, 17493, Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-EPI
145,P36,131,"Institute of Diagnostic Virology, Friedrich-Loeffler-Institut, Südufer 10, 17493, Greifswald-Insel Riems, Germany.",Friedrich-Loeffler-Institut,Germany,PH-EPI
146,P35,141,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, United States of America.",U.S. Geological Survey,United States of America,STEM-Ecology
147,P35,142,"Center for Ecology of Infectious Diseases, Department of Infectious Diseases, Department of Epidemiology and Biostatistics, Institute of Bioinformatics, University of Georgia, Athens, Georgia, United States of America.",University of Georgia,United States of America,STEM-Bioinformatics
148,P35,143,"U.S. Geological Survey, Alaska Science Center, Anchorage, Alaska, United States of America.",U.S. Geological Survey,United States of America,STEM-Ecology
149,P35,144,"U.S. Geological Survey, Alaska Science Center, Anchorage, Alaska, United States of America.;U.S. Geological Survey, National Wildlife Health Center, Madison, Wisconsin, United States of America.","U.S. Geological Survey, Alaska Science Center; U.S. Geological Survey, National Wildlife Health Center",United States of America,STEM
150,P35,145,"Southeastern Cooperative Wildlife Disease Study, Department of Population Health, College of Veterinary Medicine, University of Georgia, Athens, Georgia, United States of America.",University of Georgia,United States of America,PH-VET
151,P35,140,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, United States of America.",U.S. Geological Survey,United States of America,STEM-Ecology
152,P35,140,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, Maryland, United States of America.",U.S. Geological Survey,United States of America,STEM-Ecology
153,P35,146,"U.S. Fish and Wildlife Service, Chesapeake Bay Field Office, Annapolis, Maryland, United States of America.",U.S. Fish and Wildlife Service,United States of America,STEM
154,P35,145,"U.S. Fish and Wildlife Service, Chesapeake Bay Field Office, Annapolis, Maryland, United States of America.",U.S. Fish and Wildlife Service,United States of America,STEM-Biology
155,P35,141,"Center for Ecology of Infectious Diseases, Department of Infectious Diseases, Department of Epidemiology and Biostatistics, Institute of Bioinformatics, University of Georgia, Athens, Georgia, United States of America.",University of Georgia,United States of America,STEM
156,P35,144,"Southeastern Cooperative Wildlife Disease Study, Department of Population Health, College of Veterinary Medicine, University of Georgia, Athens, Georgia, United States of America.",University of Georgia,United States of America,PH-VET
157,P35,142,"U.S. Geological Survey, Alaska Science Center, Anchorage, Alaska, United States of America.",U.S. Geological Survey,United States of America,STEM
158,P37,147,"National Institute of Virology, Indian Council of Medical Research, Pune, Maharashtra, India.",National Institute of Virology,India,PH-MED
159,P37,146,"National Institute of Virology, Indian Council of Medical Research, Pune, Maharashtra, India.","National Institute of Virology, Indian Council of Medical Research",India,PH-MED
160,P37,146,"National Institute of Virology, Indian Council of Medical Research, Pune, Maharashtra, India.",National Institute of Virology,India,PH-MED
161,P37,146,"National Institute of Virology, Indian Council of Medical Research, Pune, Maharashtra, India.",National Institute of Virology,India,PH-MED
162,P37,148,"Ela Foundation, Pune, Maharashtra, India.",Ela Foundation,India,STEM
163,P5,149,"Department of Environmental Science and Technology, University of Maryland, College Park, MD, USA. codymkent@gmail.com.;U.S. Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA. codymkent@gmail.com.","University of Maryland;
U.S. Geological Survey",United States of America,STEM-Ecology
164,P5,150,"U.S. Geological Survey, Alaska Science Center, Anchorage, AK, USA.",U.S. Geological Survey,United States,STEM-Ecology
165,P5,151,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, CA, USA.",U.S. Geological Survey,United States,STEM-Ecology
166,P5,21,"Department of Infectious Diseases, University of Georgia, Athens, GA, USA.",University of Georgia,United States of America,PH-MED
167,P5,152,"U.S. Department of Agriculture, Wildlife Services, National Wildlife Research Center, Fort Collins, CO, USA.","U.S. Department of Agriculture, Wildlife Services, National Wildlife Research Center",United States,STEM-Biology
168,P5,73,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA.",The Ohio State University,United States of America,PH-VET
169,P5,153,"School of Veterinary Medicine, University of California Davis, Davis, CA, USA.",University of California Davis,United States of America (USA),PH-VET
170,P5,75,"Department of Veterinary and Biomedical Sciences, University of Minnesota, St. Paul, MN, USA.",University of Minnesota,United States of America,PH-VET
171,P5,150,"U.S. Geological Survey, Western Ecological Research Center, Dixon Field Station, Dixon, CA, USA.",U.S. Geological Survey,United States,STEM-Ecology
172,P5,76,"Department of Biological Sciences, California State University Chico, Chico, CA, USA.",California State University Chico,United States,STEM-Biology
173,P5,54,"U.S. Geological Survey, San Francisco Bay Estuary Field Station, Western Ecological Research Center, Moffett Field, CA, USA.",U.S. Geological Survey,United States,STEM-Ecology
174,P5,154,"U.S. Geological Survey, National Wildlife Health Center, Madison, WI, USA.","U.S. Geological Survey, National Wildlife Health Center",USA,STEM
175,P5,79,"Department of Biology, University of Massachusetts, Boston, MA, USA.",University of Massachusetts,United States of America,STEM-Biology
176,P5,153,"U.S. Geological Survey, National Wildlife Health Center, Madison, WI, USA.","U.S. Geological Survey, National Wildlife Health Center",United States,PH-VET
177,P5,155,"Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",St. Jude Children's Research Hospital,United States of America,PH-MED
178,P5,156,"Department of Environmental Science and Technology, University of Maryland, College Park, MD, USA.",University of Maryland,United States of America,STEM-Ecology
179,P5,73,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA.",The Ohio State University,United States of America,PH-VET
180,P5,152,"School of Veterinary Medicine, University of California Davis, Davis, CA, USA.",University of California Davis,United States of America,PH-VET
181,P5,157,"Department of Population Health, University of Georgia, Athens, GA, USA.",University of Georgia,United States of America,SHAPE
182,P5,158,"Department of Infectious Disease and Global Health, Tufts University, Medford, MA, USA.",Tufts University,United States,PH-EPI
183,P5,73,"Department of Veterinary Preventive Medicine, The Ohio State University, Columbus, OH, USA.",The Ohio State University,United States,PH-VET
184,P5,156,"Department of Population Health, University of Georgia, Athens, GA, USA.",University of Georgia,United States,SHAPE
185,P5,159,"U.S. Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA.",U.S. Geological Survey,United States of America,STEM-Ecology
