,,DOI,Paper associated ,Author,Affiliation code 1,Afilliation name 1,Affiliation code 2,Affiliation name 2,Corresponding author  ,First author,Afilliation code 3,Affiliation name 3,Country ,
,,,p5,Robert G. Webster,80,"Department of Infectious Diseases, St. Jude Children's Research Hospital, Memphis, TN, USA.",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p5,Diann J. Prosser,18,"Geological Survey, Eastern Ecological Science Center, Laurel, MD, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,DOI: https://doi.org/10.21203/rs.3.rs-2948767/v1,p6,Yumna Elsobky,13,University of Sadat City ,N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p6,Mahmoud Eltholth,68,Royal Holloway University of London,N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p6,Ehsan Abdalla,14,Tuskegee University,N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p6,Nourhan Eissa,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p6,Ghada Hadad,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p6,Mohamed Nayel,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p6,Akram Salama,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p6,Walid Mousa,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p6,Ahmed Kamal,13,University of Sadat City,N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p6,Mohamed Elkamshishi,69,Matrouh University ,N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.1101/2023.04.24.538139 ,p7,Claudio Azat,24,"Sustainability Research Center & PhD in Conservation Medicine, Life Science Faculty, Universidad AndrÇs Bello, Rep£blica 440, Santiago, Chile",N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p7,Mario Alvarado-Rybak,25,"N£cleo de Ciencias Aplicadas en Ciencias Veterinarias y Agron¢micas, Facultad de
  Medicina Veterinaria y Agrono, Chile",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p7,JosÇ Fernando Aguilera,24,"Sustainability Research Center & PhD in Conservation Medicine, Life Science Faculty, Universidad AndrÇs Bello, Rep£blica 440, Santiago, Chile",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p7,Julio A. Benavides,26,"MIVEGEC, IRD, CNRS, UniversitÇ de Montpellier, Montpellier, France",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.3390/v14030509,p8,Fatiha El Mellouli,27,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat,
4 Avenue Ibn Battouta, Rabat 10106, Morocco;",N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p8,Mohamed Mouahid,28,"Mouahid's Veterinary Clinic, Temara 12000, Morocco",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p8,Alice Fusaro,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p8,Bianca Zecchi,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p8,Hasnae Zekhnini ,30,"Immunology and Biodiversity Laboratory, Faculty of Science Ain chock, Hassan II University of Casablanca, Casablanca 20100, Morocco",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p8,Abderrazak El Khantour ,31,"Division of Pharmacy and Veterinary Inputs, Food Safety National Office (ONSSA), Rue Ikhlas Cym,
PB 4509 Akkari, Rabat 10050, Morocco",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p8,Edoardo Giussan ,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p8,Elisa Palumbo,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p8,Hamid Rguibi Idrissi,27,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat,
4 Avenue Ibn Battouta, Rabat 10106, Morocco;",70,"Ecole supÇrieure de Technologie de LÉayoune, Quartier 24 Mars, LÉayoune 3007, Morocco",no,no,N/A,N/A,#VALUE!,
,,,p8,Isabella Monne,29,"Istituto Zooprofilattico Sperimentale delle Venezie, 35020 Legnaro, Italy",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p8,Abdelaziz Benhoussa,27,"Biodiversity, Ecology and Genome Laboratory, Faculty of Sciences, Mohammed V University in Rabat,
4 Avenue Ibn Battouta, Rabat 10106, Morocco;",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,DOI 10.3389/fmicb.2022.1002522,p9,Zhibin Shi ,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p9,Lili Wei,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p9,Pengfei Wang,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p9,Shida Wang ,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p9,Zaisi Liu,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p9,Yongping Jian,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,,p9,Jingfei Wang,32,"State Key Laboratory of Veterinary Biotechnology and National Data Center of Animal Infectious Diseases, Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Harbin, China",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,DOI: 10.1111/tbed.14675 ,p10,Carsten Kirkeby,33,"Department of Veterinary and Animal Sciences, Faculty of Health and Medical Sciences, University of Copenhagen, Frederiksberg, Denmark",N/A,N/A,no,yes,N/A,N/A,#VALUE!,
,,,p10,Michael P. Ward,34,"Sydney School of Veterinary Science, Faculty of Science, The University of Sydney, Sydney, NSW, Australia",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.1016/j.onehlt.2023.100514,p11,Jiaqi Huang,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,yes,N/A,N/A,#VALUE!,
,,,p11,Ke Li,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,yes,N/A,N/A,#VALUE!,
,,,p11,Shuang Xiao,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,yes,N/A,N/A,#VALUE!,
,,,p11,Jian Hu,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,yes,N/A,N/A,#VALUE!,
,,,p11,Yun Yin,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Jun Zhang,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Shuhua Li ,38,"Jinshan District Center for Disease Control and Prevention, Shanghai, China ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p11,Wenge Wang,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Jie Hong ,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Zheng Zhao,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Xi Chen,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Yuanhua Liu,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Jin Shi,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Fen Hu,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Xianhui Ran,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Yue Ge,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Hao Jiang,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Zichong Liu,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",no,no,N/A,N/A,#VALUE!,
,,,p11,Michael P. Ward,37,"University of Sydney School of Veterinary Science, Camden, NSW, Australia",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,,p11,Zhijie Zhang,35,"Department of Epidemiology and Health statistics, School of Public Health, Fudan University, Shanghai, China",36,"Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China",yes,no,N/A,N/A,#VALUE!,
,,DOI: 10.1111/tbed.14722,p12,Se?bastien Lambert ,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p12,Benoit Durand,40,"Agence Nationale de Se?curite? Sanitaire de l'Alimentation, de l'Environnement et du Travail, Universite? Paris-Est, Maisons-Alfort, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,Mathieu Andraud,41,"Agence Nationale de Se?curite? Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,Roxane Delacourt,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,Axelle Scoizec ,41,"Agence Nationale de Se?curite? Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,Sophie Le Bouquin,41,"Agence Nationale de Se?curite? Sanitaire de l'Alimentation, de l'Environnement et du Travail, Ploufragan, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,Se?verine Rautureau ,42,"Direction Ge?ne?rale de l'Alimentation, Paris, France ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,Billy Bauzile,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,Claire Guinat,43,"Department of Biosystems Science and Engineering, ETH Zurich, Basel, Switzerland ",44,"Swiss Institute of Bioinformatics, Lausanne, Switzerland",no,no,N/A,N/A,#VALUE!,
,,,p12,Lisa Fourtun ,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,Jean-Luc GuÇrin,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,Mathilde C. Paul,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p12,TimothÇe Vergne,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,https://doi.org/10.1007/978-981-19-8765-6_9,p13,Mei-Liang Huang,45,"Graduate Institute of Microbiology and Public Health, College of Veterinary Medicine, National Chung Hsing University, 145 Xingda Rd., Taichung 402, Taiwan",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p13,Hong-Dar Isaac Wu,46,"Department of Applied Mathematics and Institute of Statistics, Taichung 402, Taiwan",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p13,Day-Yu Chao,45,"Graduate Institute of Microbiology and Public Health, College of Veterinary Medicine, National Chung Hsing University, 145 Xingda Rd., Taichung 402, Taiwan",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,https:// doi.org/10.3390/vetsci9030135 ,p14,Saleem Ahmad,47,"Veterinary Public Health Lab, College of Veterinary Medicine, Chonnam National University, Gwangju 61186, Korea",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,,p14,Kye-Young Koh ,47,"Veterinary Public Health Lab, College of Veterinary Medicine, Chonnam National University, Gwangju 61186, Korea",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,,p14,Dae-Sung Yoo,48,"Animal and Plant Quarantine Agency, Gimcheon 39660, Korea",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p14,Jae-Il Lee ,47,"Veterinary Public Health Lab, College of Veterinary Medicine, Chonnam National University, Gwangju 61186, Korea",N/A,N/A,yes,no,N/A,N/A,#VALUE!,
,,DOI: 10.1111/tbed.14490,p15,Debapriyo Chakraborty ,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,yes,yes,N/A,N/A,#VALUE!,
,,,p15,Claire Guinat,43,"Department of Biosystems Science and Engineering, ETH Zurich, Basel, Switzerland ",44,"Swiss Institute of Bioinformatics, Lausanne, Switzerland",no,no,N/A,N/A,#VALUE!,
,,,p15,Nicola F. MÅller,71,"Vaccine and Infectious Disease, Fred Hutchinson Cancer Research Centre, Seattle, Washington, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,Francois-Xavier Briand,72," French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-PlouzanÇ-Niort, Ploufragan, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,Mathieu Andraud,72," French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-PlouzanÇ-Niort, Ploufragan, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,Axelle Scoizec,72," French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-PlouzanÇ-Niort, Ploufragan, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,Sophie Lebouquin,72," French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-PlouzanÇ-Niort, Ploufragan, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,Eric Niqueux ,72," French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-PlouzanÇ-Niort, Ploufragan, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,Audrey Schmitz,72," French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-PlouzanÇ-Niort, Ploufragan, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,Beatrice Grasland,72," French Agency for Food, Environmental and Occupational Health & Safety (ANSES) Laboratory of Ploufragan-PlouzanÇ-Niort, Ploufragan, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,Jean-Luc Guerin,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,Mathilde C. Paul,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p15,TimothÇe Vergne,39,"IHAP, UniversitÇ de Toulouse, INRAE, ENVT, Toulouse, France",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,DOI: 10.1111/tbed.14445 ,p16,Fiona McDuie,49,"Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",50,"San Jose State University Research Foundation, Moss Landing Marine Laboratories, California, USAc",yes,yes,N/A,N/A,#VALUE!,
,,,p16,Elliott L Matchett,49,"Geological Survey, Western Ecological Research Center, Dixon Field Station, Suite D Dixon, California, USA ",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p16,Diann J Prosser,51,"Geological Survey, Eastern Ecological Science Center at the Patuxent Research Refuge (formerly USGS Patuxent Wildlife Research Center), Laurel, Maryland, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
,,,p16,John Y Takekawa ,52,"Suisun Resource Conservation District, Suisun Marsh Program, West Sacramento, California, USA",N/A,N/A,no,no,N/A,N/A,#VALUE!,
